Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity
177321,0.8510272331,Bagerhat,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,150905,40,12,60,85
25646,1.175777899,Bandarban,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,30154,40,12,60,85
231401,0.7705887183,Barguna,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,178315,40,12,60,85
302665,0.7571043893,Barishal,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,229149,40,12,60,85
388575,1.100652384,Bhola,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,427686,40,12,60,85
443007,1.192475514,Bogura,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,528275,40,12,60,85
174588,1.014634454,Brahmanbaria,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,177143,40,12,60,85
90004,0.7804430914,Chandpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,70243,40,12,60,85
140665,1.127252693,Chapai Nawabganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,158565,40,12,60,85
444857,0.9779996718,Chattogram,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,435070,40,12,60,85
85718,1.096677477,Chuadanga,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,94005,40,12,60,85
181306,1.110415541,CoxsBazar,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,201325,40,12,60,85
327517,0.9096474381,Cumilla,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,297925,40,12,60,85
18702,0.9652443589,Dhaka,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,18052,40,12,60,85
645472,1.078918993,Dinajpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,696412,40,12,60,85
191856,1.040175965,Faridpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,199564,40,12,60,85
163129,1.202152897,Feni,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,196106,40,12,60,85
293991,1.126656938,Gaibandha,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,331227,40,12,60,85
112432,1.185907927,Gazipur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,133334,40,12,60,85
59993,0.7519377261,Gopalganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,45111,40,12,60,85
245464,1.064665287,Habiganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,261337,40,12,60,85
265787,0.9535003593,Jamalpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,253428,40,12,60,85
338887,1.14695459,Jashore,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,388688,40,12,60,85
116665,0.7944799211,Jhallokati,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,92688,40,12,60,85
252930,1.369529119,Jhenaidah,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,346395,40,12,60,85
170726,1.137928611,Joypurhat,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,194274,40,12,60,85
66694,1.304375206,Khagrachari,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,86994,40,12,60,85
237461,1.120950388,Khulna,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,266182,40,12,60,85
186328,1.158322957,Kishoreganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,215828,40,12,60,85
283509,1.102067307,Kurigram,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,312446,40,12,60,85
225972,1.200374383,Kushtia,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,271251,40,12,60,85
185213,1.053263,Lakshmipur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,195078,40,12,60,85
189950,1.141163464,Lalmonirhat,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,216764,40,12,60,85
40746,0.8303146321,Madaripur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,33832,40,12,60,85
143430,1.062643798,Magura,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,152415,40,12,60,85
19457,0.9198231999,Manikganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,17897,40,12,60,85
82524,1.279203626,Meherpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,105565,40,12,60,85
251081,1.180622986,Moulvibazar,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,296432,40,12,60,85
41822,0.3934053847,Munshiganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,16453,40,12,60,85
663734,0.9711571202,Mymensingh,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,644590,40,12,60,85
468054,1.082366565,Naogaon,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,506606,40,12,60,85
85229,1.068098887,Narail,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,91033,40,12,60,85
19756,0.5482385098,Narayanganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,10831,40,12,60,85
97752,1.039313774,Narsingdi,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,101595,40,12,60,85
182696,1.119438849,Natore,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,204517,40,12,60,85
301949,1.091058424,Netrokona,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,329444,40,12,60,85
279580,1.103355033,Nilphamari,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,308476,40,12,60,85
382971,1.033623956,Noakhali,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,395848,40,12,60,85
221929,0.8668718374,Pabna,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,192384,40,12,60,85
246162,1.246549021,Panchagar,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,306853,40,12,60,85
431833,0.749345233,Patuakhali,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,323592,40,12,60,85
155038,0.6449257601,Pirojpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,99988,40,12,60,85
117377,0.9136968912,Rajbari,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,107247,40,12,60,85
182555,1.273851716,Rajshahi,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,232548,40,12,60,85
23990,1.199041267,Rangamati,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,28765,40,12,60,85
405055,1.092310921,Rangpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,442446,40,12,60,85
207744,1.108450786,Satkhira,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,230274,40,12,60,85
32898,0.701501611,Shariatpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,23078,40,12,60,85
202388,0.9527689389,Sherpur,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,192829,40,12,60,85
200166,1.104498266,Sirajganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,221083,40,12,60,85
198587,1.044851879,Sunamganj,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,207494,40,12,60,85
336140,1.05969834,Sylhet,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,356207,40,12,60,85
249183,0.8334115891,Tangail,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,207672,40,12,60,85
322836,1.083695746,Thakurgaon,Kharif 2,26,72.5,Aman,June,July to  Oct,Nov to Dec,349856,40,12,60,85
167,6.700598802,Bagerhat,Kharif 1,25,70,Amra,June,June to August,August to September,1119,30,20,60,80
128,1.3046875,Bandarban,Kharif 1,25,70,Amra,June,June to August,August to September,167,30,20,60,80
1597,0.9198497182,Barguna,Kharif 1,25,70,Amra,June,June to August,August to September,1469,30,20,60,80
1351,4.071058475,Barishal,Kharif 1,25,70,Amra,June,June to August,August to September,5500,30,20,60,80
148,5.155405405,Bhola,Kharif 1,25,70,Amra,June,June to August,August to September,763,30,20,60,80
233,3.39055794,Bogura,Kharif 1,25,70,Amra,June,June to August,August to September,790,30,20,60,80
15,0.8666666667,Brahmanbaria,Kharif 1,25,70,Amra,June,June to August,August to September,13,30,20,60,80
50,5.26,Chandpur,Kharif 1,25,70,Amra,June,June to August,August to September,263,30,20,60,80
